,track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo,album,trackName
91,7t2bFihaDvhIrd2gn2CWJO,81,0.805,0.33,-8.712,0.211,0.1,0.0,121.97,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix"
95,6PRy17C5LiiN7VCLS6IA98,72,0.658,0.9,-3.479,0.526,0.264,0.0,156.096,MANIFESTO : DAY 1,Future Perfect (Pass the MIC)
98,0a4MMyCrzT0En247IhqZbD,88,0.593,0.935,-3.43,0.783,0.225,0.0,99.976,NewJeans 1st EP 'New Jeans',Hype Boy
99,63mL1DdcSFfxVJ9XGnSRQz,67,0.778,0.8,-3.529,0.585,0.227,0.0,137.997,BETWEEN 1&2,Basics
102,5eJpwQyirY5EEdNadHKRAM,67,0.683,0.799,-5.923,0.752,0.3,0.0,145.128,Meet The Woo 2,Mannequin (feat. Lil Tjay)
104,1lUNlmwyhsJy6kXmmrO11t,65,0.509,0.83,-4.446,0.83,0.0742,0.00263,174.009,As It Was - Spotify Singles,As It Was - Spotify Singles
106,1IZGMPe57hATuLJgmMR4eP,58,0.669,0.687,-5.782,0.335,0.12,0.0,91.969,KHALED KHALED,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)"
108,3dPtXHP0oXQ4HCWHsOA9js,75,0.67,0.874,-5.221,0.789,0.0305,1.72e-05,130.041,夜に駆ける,夜に駆ける
113,4XcxgZSriCYamtIA7BgT7V,71,0.766,0.664,-6.932,0.509,0.177,0.0,109.946,BTBT,BTBT
116,5AyL2kgLtTWEu3qO3B9SqK,75,0.435,0.837,-8.126,0.778,0.449,0.0,124.913,Free Wired,Like A G6
121,7xNCacksfUkYXsXuSW4vNF,74,0.602,0.642,-5.404,0.54,0.211,5.33e-06,175.978,PS5 (with TOMORROW X TOGETHER & Alan Walker),PS5 (with TOMORROW X TOGETHER & Alan Walker)
123,6tsOcBnaKgzK22yEiqRh8P,64,0.892,0.507,-8.282,0.695,0.378,3.14e-05,143.96,MONOPOLY,MONOPOLY (with Victoria Monét)
124,40iJIUlhi6renaREYGeIDS,83,0.666,0.465,-8.545,0.292,0.26,0.0,167.937,Certified Lover Boy,Fair Trade (with Travis Scott)
125,4DByEumlGTZKSzuVEZ35eo,71,0.857,0.558,-7.888,0.453,0.134,4.8e-05,123.973,RENAISSANCE,PURE/HONEY
127,5NcLyVjUgG0yfwHgr5t81w,80,0.749,0.781,-3.265,0.606,0.0578,2.12e-06,125.09,MOONLIGHT SUNRISE,MOONLIGHT SUNRISE
130,6bnF93Rx87YqUBLSgjiMU8,86,0.537,0.746,-5.507,0.252,0.15,1.01e-06,170.062,After Hours,Heartless
135,6AomCkEOQUODCYzQwH4SWC,63,0.705,0.733,-4.942,0.681,0.102,0.154,135.993,Floor Seats,Floor Seats
136,7xVLFuuYdAvcTfcP3IG3dS,70,0.841,0.733,-5.077,0.284,0.142,0.0,130.009,Trap Lord,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)"
137,2qQpFbqqkLOGySgNK8wBXt,76,0.697,0.874,-2.15,0.775,0.0449,0.0,132.018,FANCY YOU,FANCY
140,60zxdAqWtdDu0vYsbXViA7,0,0.699,0.866,-2.138,0.795,0.0446,0.0,132.023,FANCY YOU,FANCY
143,0IEVKWduAaMcZepZQVr80T,69,0.723,0.903,-1.262,0.443,0.033,0.000377,132.006,Twicetagram,Likey
148,7LczcBaamU9pTkV4Cl9NyX,63,0.916,0.824,-4.444,0.87,0.422,0.00108,139.926,Blick Blick,Blick Blick (with Nicki Minaj)
149,0f0SbtoKGe41cX5LzlnX6X,81,0.9,0.725,-6.213,0.791,0.135,0.00101,100.015,The Name Chapter: TEMPTATION,Tinnitus (Wanna be a rock)
151,4lwavw59UjXUPJZtKNdFYp,68,0.626,0.799,-6.612,0.369,0.046,0.00155,98.992,The Fame Monster,Alejandro
153,0uQo0HbOwXdPRGlNyFqGKi,40,0.738,0.707,-5.966,0.808,0.0265,9.85e-06,117.999,Something To Tell You,You Never Knew
154,4IeUAegXVbETb7FpgNDnSM,63,0.643,0.592,-6.684,0.405,0.277,1.54e-06,123.942,Downtown: Life Under The Gun,I Luv This Shit
156,7yJG5oJwYfom8AVXDcgFLx,61,0.606,0.61,-5.279,0.685,0.392,0.0,129.989,Gal Policy,Gal Policy
157,1eN27pPLzE59zuFbY8SsiT,0,0.859,0.538,-5.207,0.333,0.0699,1.14e-06,98.031,Don't Tell 'Em,Don't Tell 'Em
158,294pxweq9pggAO32OQVgYw,58,0.461,0.592,-5.799,0.34,0.138,0.0,124.146,Testimony,I Luv This Shit - Remix (Bonus Track)
165,4JzCFEc3O2UEdjKzevvFH5,75,0.633,0.511,-5.665,0.29,0.0368,0.0,116.855,Proof,For Youth
166,65rmgd5uMb4Rgqb5dSiU0p,62,0.693,0.586,-6.098,0.459,0.0315,0.0,82.039,Celebrate,Doughnut
