,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe,track_uri,artist_uri,genres
5471,Cleo Sol,Rose in the Dark,When I'm in Your Arms,47s5hKfwGXliAAB8wKMiNo,0.596,0.462,0,-10.605,1,0.0589,0.0581,0.112,0.655,173.866,335310,4,0.476,64,3/27/20,chill,47s5hKfwGXliAAB8wKMiNo,3ETLPQkcEd7z4k3IbZmXMq,alternative r&b
5472,Cleo Sol,Rose in the Dark,When I'm in Your Arms,47s5hKfwGXliAAB8wKMiNo,0.596,0.462,0,-10.605,1,0.0589,0.0581,0.112,0.655,173.866,335310,4,0.476,64,3/27/20,chill,47s5hKfwGXliAAB8wKMiNo,3ETLPQkcEd7z4k3IbZmXMq,uk contemporary r&b
5473,Cleo Sol,Rose in the Dark,When I'm in Your Arms,47s5hKfwGXliAAB8wKMiNo,0.596,0.462,0,-10.605,1,0.0589,0.0581,0.112,0.655,173.866,335310,4,0.476,64,3/27/20,chill,47s5hKfwGXliAAB8wKMiNo,3ETLPQkcEd7z4k3IbZmXMq,uk funky
5474,Coco Jones,Spotify Singles,Until The End Of Time - Spotify Singles,0XdwIG7p28SeTam3DVdMX6,0.695,0.526,8,-7.486,1,0.043,0.0,0.215,0.534,121.939,283314,4,0.0635,64,2/14/23,chill,0XdwIG7p28SeTam3DVdMX6,4DHLoiIqFYYFjH09WduvFd,
5475,Karri,only u,only u,0jatnHT0N0LSpbE1obPLB9,0.576,0.312,9,-7.717,1,0.0325,0.0,0.0937,0.377,147.769,146128,3,0.804,64,3/31/23,chill,0jatnHT0N0LSpbE1obPLB9,6EYGGkM2JDpX5CjHpGkiME,bedroom r&b
5476,Masego,Lady Lady,Queen Tings,5tkR9JkBj3Ueeo8W4k8IZD,0.818,0.461,6,-6.475,0,0.292,0.000135,0.108,0.532,88.006,188053,4,0.598,62,9/7/18,chill,5tkR9JkBj3Ueeo8W4k8IZD,3ycxRkcZ67ALN3GQJ57Vig,alternative r&b
5477,Masego,Lady Lady,Queen Tings,5tkR9JkBj3Ueeo8W4k8IZD,0.818,0.461,6,-6.475,0,0.292,0.000135,0.108,0.532,88.006,188053,4,0.598,62,9/7/18,chill,5tkR9JkBj3Ueeo8W4k8IZD,3ycxRkcZ67ALN3GQJ57Vig,indie soul
5478,Ravyn Lenae,HYPNOS,Skin Tight (feat. Steve Lacy),4KVSdwwJ67JHu5s9vIA0zi,0.468,0.52,3,-7.964,0,0.0329,0.00259,0.078,0.46,174.082,227000,3,0.246,62,5/20/22,chill,4KVSdwwJ67JHu5s9vIA0zi,5RTLRtXjbXI2lSXc6jxlAz,alternative r&b
5479,Ravyn Lenae,HYPNOS,Skin Tight (feat. Steve Lacy),4KVSdwwJ67JHu5s9vIA0zi,0.468,0.52,3,-7.964,0,0.0329,0.00259,0.078,0.46,174.082,227000,3,0.246,62,5/20/22,chill,4KVSdwwJ67JHu5s9vIA0zi,5RTLRtXjbXI2lSXc6jxlAz,indie soul
5480,Chase Shakur,It'll Be Fine,"i don't wanna fall in love, it's too late now",4OPcKAVpIquCyW94TEaD3A,0.352,0.344,9,-7.467,0,0.0355,0.0,0.377,0.341,107.722,55049,3,0.773,61,6/24/22,chill,4OPcKAVpIquCyW94TEaD3A,1gW1Q6W7d3a9dDXk1KlbG8,
