track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo
4R2kfaDFhslZEMJqAFNpdd,89,0.613,0.581,-8.588,0.551,0.0424,0.000345,130.033
3zxklD2EGecZre9MjEEvIU,64,0.732,0.161,-12.817,0.5,0.0306,0.000379,95.21
3CV4lFELdziNM1OnHU8nwz,64,0.335,0.251,-6.225,0.0863,0.0317,0.0,153.298
2l57cfmCnOkwNX1tky02n1,69,0.518,0.916,-3.858,0.646,0.0454,0.0,109.864
4RAOI1etsgbh5NP3T5R8rN,74,0.289,0.796,-4.22,0.33,0.0494,2.61e-05,169.835
6vYYt9fTorwdo6sxoceMQC,41,0.652,0.605,-11.14,0.72,0.025,1.31e-05,96.808
5MoDQWMDMaAGDEiWsJfeCi,69,0.526,0.358,-7.239,0.399,0.0243,0.0,78.989
2Ugconvpew97ofQ71dfi8K,47,0.316,0.135,-15.419,0.342,0.0354,0.0,144.381
1jy0RbDHyBMTupSdc98XbG,63,0.335,0.262,-13.832,0.203,0.0393,0.0,68.82
4sQmCQUZcnBPaVm4dEUKv7,66,0.658,0.82,-5.825,0.697,0.0674,0.0,112.938
1JCCdiru7fhstOIF4N7WJC,64,0.572,0.499,-5.237,0.108,0.0311,0.0,101.593
40IHflbrHcOuC8ZcYxUSAC,60,0.652,0.397,-15.245,0.858,0.0385,0.000946,82.235
7h70RTLbnhDyPGXjl3iEhh,66,0.581,0.717,-4.433,0.316,0.0318,0.000186,107.884
6WVfA4qZX5BIpJRzgYjniV,53,0.668,0.283,-10.071,0.459,0.0413,0.0,94.042
1D4PL9B8gOg78jiHg3FvBb,78,0.617,0.741,-3.97,0.306,0.0311,0.0,118.984
0ll8uFnc0nANY35E0Lfxvg,77,0.453,0.655,-4.22,0.368,0.0259,7.61e-06,172.012
3CeCwYWvdfXbZLXFhBrbnf,81,0.626,0.79,-4.302,0.416,0.0311,3.97e-06,119.082
5aeQMQDWe64gVnVYSOqW6A,62,0.581,0.169,-13.449,0.362,0.0675,0.0,160.156
4xiaE15ARCs5CVPA6J8gmC,57,0.521,0.233,-13.683,0.4,0.0254,0.0,78.93
0KMGxYKeUzK9wc5DZCt3HT,77,0.434,0.563,-6.784,0.275,0.0268,0.000824,104.183
0DKNNR9iDjwfCEpMiFXMJq,67,0.597,0.931,-4.591,0.534,0.0984,0.0,92.003
1Jj6MF0xDOMA3Ut2Z368Bx,71,0.724,0.436,-9.321,0.324,0.0282,1.19e-06,130.439
0vswnzoKvhNkT1ehc0Tt19,67,0.46,0.505,-5.487,0.22,0.0266,0.0,135.757
1QvPIlDwzql2ub5MCyYa78,62,0.774,0.849,-2.986,0.962,0.0301,0.000199,126.996
65h7Qhxl2WfW31Bl6sjWAI,63,0.496,0.338,-9.512,0.202,0.0316,0.0,129.486
1BvJmtaXsqtH438BcDPeBb,69,0.688,0.477,-11.945,0.897,0.029,4.93e-05,132.071
3wfujdbamR3Z46F4xav7LM,68,0.582,0.606,-9.961,0.504,0.0289,0.00139,111.441
6d1IYeSfyqOTW61rPgocGD,65,0.595,0.546,-6.251,0.255,0.0267,0.00422,131.136
214nt20w5wOxJnY462klLw,81,0.662,0.747,-6.926,0.487,0.0736,0.00615,150.088
0VE4kBnHJUgtMf0dy6DRmW,84,0.562,0.689,-6.745,0.351,0.127,2.23e-06,172.054
34E0Higz6fFVXlbVsn6TIW,64,0.552,0.265,-15.482,0.212,0.0332,0.0,135.476
60c0p6GGnuwdKcQnmuM2zC,65,0.418,0.721,-2.736,0.233,0.0383,0.0,144.063
1TX2IeSDuozjBh2Qqepf05,47,0.489,0.306,-9.326,0.6,0.0289,0.0,202.281
7BdXRaSlGAzhySfuW3y8h5,68,0.586,0.331,-14.677,0.223,0.0295,1.67e-05,124.915
4W4fNrZYkobj539TOWsLO2,87,0.575,0.5,-7.594,0.506,0.0707,0.0,67.033
77loZpT5Y5PRP1S451P9Yz,83,0.472,0.671,-4.649,0.0681,0.029,0.0,82.952
3Z2anmIVG8b1GelyeFQdnP,67,0.533,0.24,-9.512,0.265,0.0424,0.0,175.486
4RCWB3V8V0dignt99LZ8vH,80,0.656,0.291,-10.572,0.298,0.0293,0.0,103.971
313YEBGwW9UyaU8OGPiwD1,47,0.64,0.431,-9.618,0.394,0.029,0.00352,122.052
1p80LdxRV74UKvL8gnD7ky,81,0.753,0.678,-5.421,0.583,0.0644,1.64e-06,96.006
1exLL81vN8mD55M9HMOt1t,66,0.451,0.424,-13.208,0.394,0.0371,1.77e-06,141.836
2T9WeqSMJJb8YBDHPYGU4p,70,0.642,0.695,-5.62,0.642,0.0281,1.02e-05,103.984
4VqUvTa7j2ETBL0youqSA3,35,0.457,0.575,-4.723,0.222,0.0249,0.00152,159.938
5VGlqQANWDKJFl0MBG3sg2,78,0.276,0.715,-5.356,0.173,0.0432,0.000417,137.028
6TvxPS4fj4LUdjw2es4g21,71,0.475,0.26,-15.997,0.339,0.0322,0.0016,137.212
5CRVwXGikmqzoRO6q7FeAg,70,0.565,0.245,-9.132,0.307,0.0262,0.0,75.055
1Qa0Y05al633fG8f9Peytc,67,0.471,0.494,-10.407,0.373,0.0312,0.0944,79.255
1dMilrhgON9TIGPVdWG2dX,57,0.377,0.606,-7.409,0.291,0.0262,0.00877,83.972
36lkJSDyMEZoWTqtRj8Q8q,74,0.583,0.602,-6.364,0.388,0.0274,0.0,74.008
2Guz1b911CbpG8L92cnglI,66,0.29,0.48,-6.583,0.382,0.0296,3.03e-06,112.62
1L9fzw2pXprOqtemTwtxXF,68,0.602,0.536,-9.74,0.506,0.0288,1.9e-05,124.558
57ct8jKi6trntXiRV0NnXi,69,0.612,0.24,-12.821,0.223,0.033,7.86e-05,122.565
6Bm6qUCSatPAqkQllFL7oA,68,0.256,0.788,-5.263,0.429,0.0403,0.0,80.718
2IIdrejPZuHHFpc3LbTtEK,52,0.471,0.549,-5.696,0.141,0.0315,0.0,83.681
78Sw5GDo6AlGwTwanjXbGh,94,0.574,0.469,-8.209,0.288,0.0254,9.21e-05,132.023
7ePEIbrsRXk9En7noiLAo7,65,0.563,0.184,-16.386,0.194,0.0417,0.0,128.048
1oTo3ijRbaDAtrjJrGAPSw,72,0.664,0.781,-6.547,0.593,0.0339,5.33e-06,110.0
