,track_uri,artist_uri,genres
612,3PzsbWSQdLCKDLxn7YZfkM,3eqjTLE0HfPfh78zjh6TqT,rock
612,3PzsbWSQdLCKDLxn7YZfkM,3eqjTLE0HfPfh78zjh6TqT,singer-songwriter
613,40W8Mm9t3ZO1iNQlls35lL,70ZTdbPEcEugBNay4MvxfL,folk rock
613,40W8Mm9t3ZO1iNQlls35lL,70ZTdbPEcEugBNay4MvxfL,mellow gold
613,40W8Mm9t3ZO1iNQlls35lL,70ZTdbPEcEugBNay4MvxfL,singer-songwriter
613,40W8Mm9t3ZO1iNQlls35lL,70ZTdbPEcEugBNay4MvxfL,soft rock
614,1Fu3gq55GH3P6OF352rEIc,70ZTdbPEcEugBNay4MvxfL,folk rock
614,1Fu3gq55GH3P6OF352rEIc,70ZTdbPEcEugBNay4MvxfL,mellow gold
614,1Fu3gq55GH3P6OF352rEIc,70ZTdbPEcEugBNay4MvxfL,singer-songwriter
614,1Fu3gq55GH3P6OF352rEIc,70ZTdbPEcEugBNay4MvxfL,soft rock
615,4kKdvXD0ez7jp1296JmAts,1Mxqyy3pSjf8kZZL4QVxS0,adult standards
615,4kKdvXD0ez7jp1296JmAts,1Mxqyy3pSjf8kZZL4QVxS0,easy listening
615,4kKdvXD0ez7jp1296JmAts,1Mxqyy3pSjf8kZZL4QVxS0,lounge
616,2hjAc6x8EoSLhGxRNg8KEw,44NX2ffIYHr6D4n7RaZF7A,classic rock
616,2hjAc6x8EoSLhGxRNg8KEw,44NX2ffIYHr6D4n7RaZF7A,folk
616,2hjAc6x8EoSLhGxRNg8KEw,44NX2ffIYHr6D4n7RaZF7A,folk rock
616,2hjAc6x8EoSLhGxRNg8KEw,44NX2ffIYHr6D4n7RaZF7A,heartland rock
616,2hjAc6x8EoSLhGxRNg8KEw,44NX2ffIYHr6D4n7RaZF7A,mellow gold
616,2hjAc6x8EoSLhGxRNg8KEw,44NX2ffIYHr6D4n7RaZF7A,rock
616,2hjAc6x8EoSLhGxRNg8KEw,44NX2ffIYHr6D4n7RaZF7A,singer-songwriter
616,2hjAc6x8EoSLhGxRNg8KEw,44NX2ffIYHr6D4n7RaZF7A,soft rock
617,14ahZtLV5yKtqQATTfQta0,7Lk9V7E1u5gqSHmtcKlOqH,alt z
617,14ahZtLV5yKtqQATTfQta0,7Lk9V7E1u5gqSHmtcKlOqH,gen z singer-songwriter
617,14ahZtLV5yKtqQATTfQta0,7Lk9V7E1u5gqSHmtcKlOqH,modern indie pop
618,6eMjSKkY61gwiUVBB2OYaB,17oLmcamZOvri63kIr56CO,acoustic cover
619,4l0Mvzj72xxOpRrp6h8nHi,0C8ZW7ezQVs4URX5aX7Kqx,pop
619,4l0Mvzj72xxOpRrp6h8nHi,0C8ZW7ezQVs4URX5aX7Kqx,post-teen pop
620,5ZtOg6T7qui1IMSwGh358t,6P5NO5hzJbuOqSdyPB7SJM,alt z
621,4t8tx6o7oM6Ax66ZUU361y,1R6Hx1tJ2VOUyodEpC12xM,classic rock
621,4t8tx6o7oM6Ax66ZUU361y,1R6Hx1tJ2VOUyodEpC12xM,country rock
621,4t8tx6o7oM6Ax66ZUU361y,1R6Hx1tJ2VOUyodEpC12xM,folk
